id,svy_id,link,title,data_access,year_start,year_end,authoring_entity_name,authoring_entity_affiliation,contact_name,contact_affiliation,contact_email,contact_uri,abstract,collection_dates_cycle,collection_dates_start,collection_dates_end,coverage,sampling_procedure,collection_mode,coll_situation,weight,cleaning_operations,status,reg,coverage_notes
935,AFG_2007_NRVA_v01_M,AFG_2007_NRVA,National Risk and Vulnerability Assessment Survey 2007-2008,licensed,2007,2008,Central Statistics Organisation (CSO)|Ministry of Rural Rehabilitation and Development (MRRD),Government of the Islamic Republic of Afghanistan,Central Statistics Organization,,mail@cso.gov.af,www.cso.gov.af,"The National Surveillance System (NSS) Project was designed to assist the Government of Afghanistan in addressing its acute and multiple data needs to inform and prioritise the reconstruction and development efforts, and to contribute to data collection in the areas of poverty alleviation, food security, livelihood and vulnerability. The NSS Project is implemented within the Vulnerability Analysis Unit (VAU) of the Ministry of Rural Rehabilitation and Development (MRRD) and the NSS Unit at the Central Statistics Organisation (CSO). The NSS Unit is responsible for the design and implementation of regular data collection, data processing, standard data analysis, as well as wider data dissemination. MRRD’s Vulnerability Analysis Unit is responsible for addressing the needs for data, analysis and interpretation according to the specific priorities of the MRRD senior management, its advisors, as well as the MRRD programmes.",,2007-08,2008-08,National,"Sampling Design

The sampling design of the NRVA 2007/8 built upon the experiences from the NRVA 2005 and the same sampling approach was maintained, with representative statistics generated for 34 provinces, 11 instead of 10 urban centres, and the nomadic pastoralists. Based on the CSO pre-census household listing data, a geographically ordered list of all of the primary sampling units (PSUs) (rural settlements and urban blocks) was created with their estimated number of households. The resulting sample is a total of 2,441 PSUs and 20,576 households (19,528 from the settled urban and rural population and 131 (1,048 households) from the Kuchi population.

The use of a random start and a pre-determined sampling interval provided each household with an equal chance of being selected. Once individual households had been selected, seven other households were selected within the same PSU. Consequently, in every PSU, eight households were interviewed. To avoid the problem of household replacements in the field, the 2007/8 sample design was improved by randomly selecting four households that were kept as reserve in case the household had moved away.

A major difference with the 2005 assessment is the removal of the seasonality bias by conducting the survey yearround during all 12 months. The main considerations for moving from data collection in summer only to the year-round strategy were:
- to capture the seasonality of consumption and other dimensions of welfare;
- to improve the quality of the collected data;
- to field a smaller group of carefully selected, well trained and properly supervised interviewers;
- to permit higher quality field and data validation procedures, through avoiding a concentration of the sample into just two months;
- to be consistent with international standards for obtaining seasonally biased estimates.

Note: See detailed sampling methodology in Annex II of the final report which is presented in this documentation.",Face-to-face [f2f],,,"The questionnaire format was designed in Teleform (software that extracts data from paper questionnaires) to allow data scanning instead of manual data entry.
Around 1.6 million questionnaire pages were completed and scanned",drop,SAR,
8829,AFG_2011_NRVA_v01_M,AFG_2011_NRVA,"National Risk and Vulnerability Survey 2011-2012, Living Conditions Survey",licensed,2011,2012,Central Statistics Organisation (CSO)|Ministry of Rural Rehabilitation and Development (MRRD),Government of the Islamic Republic of Afghanistan,Central Statistics Organization,,mail@cso.gov.af,www.cso.gov.af,The National Risk and Vulnerability Assessment 2011/12 is a nationally representative multi-purpose survey. The main objectives of the survey are to provide up-to-date information for assessing the situation of the people of Afghanistan and to furnish data needed for monitoring progress toward development goals.,,2011-04,2012-08,National,"The sampling design of the NRVA 2011-12 was developed to produce results that are representative at national and provincial level, as well as for Shamsi calendar seasons. In total 35 strata were identified, 34 for the provinces of Afghanistan and one for the nomadic Kuchi population. Stratification by season was achieved by equally distributing data collection over 12 months within the provinces. For the Kuchi population, the design only provided sampling in winter and summer when communities tend to temporarily settle. Given the total sample size of 21,000 and uniform sample size per stratum, each province and the Kuchi stratum was assigned with 600 households to be interviewed.
The sampling frame used for the resident population in the NRVA 2011-12 was the pre-census household listing conducted by CSO in 2003-05. Households were selected on the basis of a two-stage cluster design within each stratum. In the first stage Enumeration Areas (EAs) were selected as Primary Sampling Units (PSUs) with probability proportional to EA size (PPS). Subsequently, in the second stage ten households were selected as the Ultimate Sampling Unit (USU). The design thus provided for 60 clusters per province, implying data collection of five clusters (50 households) per province per month and in total 170 clusters (1,700) households per month and 2,040 clusters (20,400 households) in the full year of data collection.
The Kuchi sample was designed on basis of the 2003-04 National Multi-sectoral Assessment of Kuchi (NMAK-2004). For this stratum a community selection was implemented with PPS and a second stage selection with again a constant cluster size of ten households. The 60 clusters (600 households) for this stratum were equally divided between the summer and winter periods within the survey period.",Face-to-face [f2f],,"Sample weights were calculated for up-scaling the surveyed households and population to the total number of households and population in Afghanistan. The calculation was based on the official CSO population estimate by province for January 2012 and average provincial household size derived from the survey. In view of the unequal distribution of the sample across seasons, a post-stratification adjustment was imposed to give equal weight to the seasons.","After some quality control in the field made by supervisors and RSO, data processing in CSO Headquarters was done in parallel to the fieldwork and started upon arrival of the first batch of completed questionnaires in May 2011. The first stage consisted of manual checking by three questionnaire editors.
Subsequently, the questionnaire batch was submitted for data entry. The data entry staff received two rounds of training before actual data capture started. In the course of the survey, the team was expanded to 30 operators to keep up to eliminate the backlog that arose due to double data entry.",drop,SAR,
2204,AGO_2000_HBS_v01_M,AGO_2000_HBS,Inquérito aos Agregados Familiares sobre Despesas e Receitas 2000,licensed,2000,2001,Instituto Nacional de Estatistica,Ministério da Economia e Planeamento,,,,,,,2000,2001,,,Face-to-face [f2f],,,,,SSA,
2200,AGO_2008_IBEP-MICS_v01_M,AGO_2008_IBEP-MICS,"Inquérito Integrado sobre o Bem-Estar da População 2008-2009, IDR II e MICS III",remote,2008,2009,Instituto Nacional de Estatistica,Ministério da Economia e Planeamento,,,,,"O Inquérito Integrado sobre o Bem-estar da População - IBEP 2008-2009 (IDR II e MICS III) é um inquérito por amostragem com 12,500 agregados cuja implementação decorrerá por um ano (entre Maio 2008 e Maio de 2009) cobrindo todas as províncias do país, incluindo áreas rurais e urbanas.

Sendo o primeiro inquérito do género (MICS e IDR em simultâneo) a ser realizado pelo Instituto Nacional de Estatística (INE), este inquérito reveste-se de particular importância para o país. Pois além de disponibilizar informação pertinente para o planeamento do seu desenvolvimento sócio-económico - mediante a realização de actividades como a revisão da base de ponderação do índice de preços no consumidor, a estimação do consumo das famílias para as contas nacionais ou a elaboração do perfil de pobreza do país - o IBEP permitirá ao INE obter dados sobre indicadores múltiplos nas áreas de saúde, trabalho infantil, educação, VIH-SIDA, mortalidade infantil, imunização, etc. que facultarão o governo elaborar programas e políticas públicas pertinentes.

OBJECTIVOS DO INQUÉRITO
De uma forma geral, pretende-se com o IBEP conhecer as estruturas de consumo e de receitas dos agregados familiares residentes nas províncias assim como uma série de indicadores sociais. Essencialmente, o IBEP tem como objectivos específicos: -
- Conhecer as despesas dos agregados familiares e sua distribuição
- Obter informação necessária para a revisão dos coeficientes de ponderação do índice de preços no consumidor
- Analisar a estrutura de despesa para os diferentes níveis de receitas
- Conhecer a estrutura da receita dos agregados familiares
- Obter dados para as estimações correspondentes ao consumo dos agregados familiares para as contas nacionais
- Obter informação para a elaboração do perfil da pobreza do país
- Analisar a relação dos diferentes grupos de despesa e receita dos agregados familiares com as características da habitação
- Recolher dados que permitem calcular uma série de indicadores sociais nas áreas de saúde, trabalho infantil, educação, VIH-SIDA, mortalidade infantil, imunização, etc.",,2008m5,2009m5,National Coverage,,Face-to-face [f2f],"Recolha de dados num agregado
Na organização do inquérito considera-se que a recolha de dados num agregado deverá ser feita como mínimo em 4 visitas ao agregado durante o período de trabalho, com a seguinte distribuição:

PRIMEIRA VISITA: No dia da primeira visita, o inquiridor deverá preencher as seguintes partes do questionário:
Questionário A:
- Preenchimento da capa do questionário A, da parte de identificação do inquiridor e do ficheiro do agregado (orelha)
- Secção 01: Informação básica (aplicável a todos os membros do agregado)
- Secção 02: Registo de nascimento (aplicável aos menores de 18 anos)
- Secção 03A: Educação pré-escolar (aplicável as crianças de 3 a 5 anos de idade)
- Secção 03B: Educação geral (aplicável aos membros de 6 e mais anos de idade)
- Secção 04: Saúde geral (aplicável a todos os membros do agregado)
- Secção 05: Conhecimento, atitudes e praticas sobre VIH/SIDA (aplicável á todos membros com 12 anos e mais)
Questionário B:
- Anota dados sobre as despesas diárias do agregado do dia anterior (1º dia)
Questionário C:
- Faz entrega do questionário C para as pessoas que tem receitas e coordena-se o momento para sua revisão. Se a pessoa não se encontra nesse momento na habitação, deixa o questionário com uma pessoa responsável e coordena com ela a data da revisão do mesmo.

SEGUNDA VISITA: A segunda visita deverá realizar-se 2 dias depois da primeira visita e o inquiridor deverá preencher as seguintes partes do questionário:
Questionário A:
- Secção 06: Contracepção (aplicável as mulheres entre os 12 a 49 anos de idade)
- Secção 07: Saúde materna (aplicável as mulheres entre 12 a 49 anos de idade com filhos nascidos vivos nos últimos 12 meses)
- Secção 08: Tétano toxóide (aplicável as mulheres entre 12 a 49 anos de idade com filhos nascidos vivos nos últimos 12 meses)
- Secção 09: Mortalidade infantil (aplicável as mulheres entre 12 a 49 anos de idade que já tiveram um filhos nascido vivo)
- Secção 10: Mortalidade materna (aplicável as mulheres entre os 12 a 49 anos de idade)
- Secção 11: Imunização (aplicável as crianças com 0 a 59 meses de idade)
- Secção 12: Trabalho infantil (aplicável aos membros entre os 05 a 14 anos de idade)
- Secção 13: Emprego (aplicável a todos os membros do agregado de 14 e mais anos de idade)]
- Secção 14: Acesso à serviços financeiros (aplicável a todos os membros do agregado)
Questionário B:
- Recolha dados sobre as despesas diárias do agregado nos dias 2 e 3.
Questionário C:
- Faz revisão do questionário C referente aos membros do agregado com receitas e coordena o momento para a revisão seguinte.

TERCEIRA VISITA: A terceira visita deverá realizar-se 2 dias depois da segunda visita e recolhe dados sobre as seguintes secções:
Questionário A:
- Secção 15A e 15B: Receitas (aplicável aos membros do agregado com receitas)
- Secção 16: Despesas mensais (aplicável as donas de casa ou outro membro que lida com as despesas do agregado)
- Secção 17: Despesas trimestrais (aplicável as donas de casa ou outro membro que lida com as despesas do agregado)
- Secção 18: Despesas anuais (aplicável as donas de casa ou outro membro que lida com as despesas do agregado)
Questionário B:
- Recolha dados sobre as despesas diárias do agregado dos dias 4 e 5.
Questionário C:
- Faz revisão do questionário C referente a membros do agregado com receitas e coordena o momento da revisão seguinte.

QUARTA VISITA: Na quarta visita, que será feita 2 dias depois da terceira, dever-se-á recolher os seguintes dados:
Questionário A:
- Secção 19A: Actividade agropecuária (aplicável aos responsáveis pela actividade agro-pecuária do agregado)
- Secção 19B: Produção agrícola – culturas temporárias (aplicável aos responsáveis pela actividade agrícula do agregado)
- Secção 19C: Produção agrícola – culturas permanentes (aplicável aos responsáveis pela actividade agrículas do agregado)
- Secção 19D: Produção animal (aplicável aos responsáveis pela actividade agro-pecuária do agregado)
- Secção 20A: Actividade de captura de peixe (aplicável aos responsáveis pela actividade de captura de peixe do agregado)
- Secção 20B: Produção de pescado (aplicável aos responsáveis pela actividade piscícola do agregado)
- Secção 21: Características da habitação e do agregado (aplicável ao chefe do agregado familiar ou um representante dele)
- Secção 22: Agua e saneamento (aplicável ao chefe do agregado familiar ou um representante dele)
- Secção 23 Acesso a serviços e cidadania (aplicável ao chefe do agregado familiar ou um representante dele)
Questionário B:
- Recolha dados sobre as despesas diárias do agregado dos dias 6 e 7.
Questionário C:
Faz recolha e revisão do questionário C.",,,,SSA,
11708,AGO_2018_IDREA_v01_M,AGO_2018_IDREA,"Inquérito Sobre Despesas, Receitas e Emprego 2018-2019",remote,2018,2019,Instituto Nacional de Estatistica,Ministério da Economia e Planeamento,,Ministério da Economia e Planeamento,camilo.ceita@ine.gov.ao|ana.machado@ine.gov.ao|paulo.fonseca@ine.gov.ao|margarida.lourenco@ine.gov.ao|silvio.carvalho@ine.gov.ao|manuel.artur@ine.gov.ao,,"O IDREA visa recolher informação sobre:
- Características sociodemográficas dos agregados familiares;
- Alguns aspectos de saúde geral;
- Situação dos membros do agregador familiar perante ao emprego;
- Estrutura da receita dos agregados familiares;
- Estrutura do consumo dos agregados familiares;",,2018m3,2019m2,National Coverage,"The sample size of IDREA 2018-2019 was 12,448 households nationwide, with 60.4% of the households being urban according to the cartography data used in RGPH 2014.

The sample size on was 648 households per country province, with the exception of Luanda, where the sample size was double, that is, 1424 households.

The sample is random and stratified and comprises two stages of selection:

- In the 1st stage 1,368 Primary Sampling Units (UPAs) were selected that correspond to the clusters, with Probability Proportional to the Size (PPT) of households by stratum in each province;

- In the 2nd stage, 10 households in the urban stratum and 8 households in the rural were selected. In addition, 4 reserve households were selected.",Computer Assisted Personal Interview [capi],"Data collection was done through tablets for the 4 types of Questionnaires. At the end of each interview, the interviewers sent the data to the supervisor, who in turn, checked the data and submitted it to INE Central.",,"Data cleaning took place in several stages throught the process, including:
a) Editing and coding 
b) During data entry
c) Verification of the structure and integrity
d) Structural verification of the SPSS files",,SSA,
3,ALB_1996_EWS_v01_M,ALB_1996_EWS,Employment and Welfare Survey 1996,public,1996,1996,Ministry of Labour and Social Affairs,,LSMS Data Manager,The World Bank,lsms@worldbank.org,surveys.worldbank.org/lsms,"The original objective for collecting a detailed household information in Albania was to provide the data to support the research program """"Decentralizing Safety Nets: Community Choices and their Impact on Households."""" One of the main components of the research program was the evaluation of the distributional impact of the efforts of decentralizing the social assistance program, the Ndhime Ekonomica (NE), at the household level.

The data collected for the Employment and Welfare Survey include information on household composition, education, current and past employment, level of expenditure, health outcomes, and other important household characteristics such as assets and quality of housing. The data collected include all dimensions of household characteristics which makes it important in analyzing the original goals of the research project as well as to perform many other welfare and poverty studies.

The survey covered approximately 1,500 households in rural and urban areas, excluding Tirana. The data collection took place between August and November 1996.",,1996m8,1996m11,National (except Tirana),"The data collected cover approximately 1,500 households in rural and urban areas, excluding Tirana. Tirana was not included because it had been the focus of another household survey in 1994. The sample was designed to maximize the inclusion of poor areas to increase the number of program participants. 

The sample was drawn using a multi-stage stratified sampling procedure separately in the rural areas and in the urban areas. 

Detailed description of the sampling procedure is available in """"Basic Documentation, Albania: Employment and Welfare Survey"""", pp.2-7.",Face-to-face [f2f],"The data collection in the field was contracted by the MOLSP to a local consulting company. The contract was funded by the monitoring and evaluation funds for the Social Safety Project funded by the World Bank The main difficulties for the field work and implementation of the survey were caused by transportation problems, especially in rural areas. Although Albania is a fairly small country, road transportation is particularly difficult and several villages in rural areas are connected to the main road only by off road mountain passes and hiking trails.

The administration of the questionnaire took about one hour (60 minutes on average in rural areas and about 70 minutes in urban areas). The questionnaire was administered in one single visit, depending on the households ability to provide all the answers during that first visit. Because of the difficulty of transport in rural areas and the feasibility of conducting the whole interview in a single visit, the one visit strategy was the most efficient in Albania.

A total of five survey teams were used for the data collection. Each team consisted of a field supervisor, three interviewers and a driver. In total seven supervisors and 15 interviewers worked on the survey. Each interviewer completed on average a total of 100 questionnaires, ranging from a minimum of 40 to a maximum of 182 households. The quality of work provided by the interviewers was very high. Most of the interviewers had a college degree and most of them had been, or still were, school teachers.",,"The data entry program was designed using IMPS, a data entry package developed by the US Census Bureau. The program was designed in such a way to follow the same layout as the questionnaire and included three types of data checks: a) range checks; b) intra-record checks to verify inconsistencies pertinent to a particular section of the questionnaire; and c) inter-record checks to determine inconsistencies between the different sections of the questionnaire.

The 58 data files that resulted from the key entry of data from the 50 communes and the 8 bashkies were re-grouped into 35 files organized according to the sections of the questionnaire.",,ECA,
11409,ALB_2002_LSMS_v01_M,ALB_2002_LSMS,Living Standards Measurement Survey 2002,direct,2002,2002,Living Standards Measurement Study (LSMS),The World Bank,LSMS Database Manager,The World Bank,lsms@worldbank.org,surveys.worldbank.org/lsms,"The Living Standards Measurement Survey (LSMS) is a multi-purpose household survey conducted to measure living conditions and poverty situation, and to help policymakers in monitoring and developing social programs.

LSMS has been carried out in Albania in the context of continuing monitoring of poverty and the creation of policy evaluation system in the framework of the National Strategy for Development and Integration (previously the National Strategy for Economic and Social Development). 

The first Albania LSMS was conducted in 2002, followed by 2003, 2004, 2005 and 2008 surveys. In 2008, 3,600 households participated in the survey.",,2002m5,2002m7,National coverage,"The survey includes a sample of 6,671 households that constitute the survey units. The sample is chosen randomly by two rounds of selection. The sample frame was provided from Population and Housing Census done on October 2011. In the first round, 834 Primary Selection Units (PSUs) have been chosen randomly to represent the whole territory of the country. Then, 8 households for each PSU were chosen to be interviewed in the second round through a procedure of systematic sample. To handle cases of non response or no contact other 4 households for each PSU were chosen as substitutes that ensured the target of 6,671 completed questionnaires near the households.

The methodology of the 2012 LSMS has been kept similar with the surveys conducted in the previous years. However, the geographic domains of analysis have been expanded to include the 12 individual prefectures of Albania, by urban and rural strata, compared to four geographic regions (Central, Coastal, Mountain and Tirana) by urban and rural strata defined previously as domains for the survey. This required a considerable increase in the sample size from 3,600 to 6,671 households making possible to calculate indicators of living standard for 24 strata and even for the four main areas of the country in order to compare the regional results to those from the 2002, 2005 and 2008 surveys and study the regional trends for various indicators.",Face-to-face [f2f],"Data collection was based in two different ways of collection: 

- Filling a dairy from the households for a period of 14 days, where are recorded expenditures for purchasing products/services of consumption and when it was necessary filling a daily self-consumption dairy for 14 days, where are recorded only the products produced and consumed by the household itself during the same period, which values are estimated with the price that would be paid in the nearest shop/market. 

- Direct interview from the interviewer with a questionnaire where are included different questions about big expenditures and with a rare frequency, grouped and sorted according to specific topics. In the same questionnaire are included questions about socio-demographic data of household composition that will help in the analysis of household budget survey by household type.",,"The Comparative Living Standards Project (CLSP) includes variables that were collected at the community, household, and individual level. The community level data include variables that detail distance to services such as the nearest market, the nearest schools, and the nearest health center.

The household level data includes information on household geographic information, demographic status of the household head, housing conditions, utilities, ownership of durable goods, consumption, and income. It also contains the community level variables and the consumption and income variables.

Individual level data includes basic demographic characteristics, education, health, fertility, anthropometrics (5 years and younger), migration and economic activity.

All of the variables have been harmonized using internationally recognized standard definitions where those exist. Variables have been chosen for inclusion in the CLSP based on their availability in multiple surveys and the ability to harmonize the options. The data cannot be downloaded for use outside of the CLSP.",,ECA,
11410,ALB_2005_LSMS_v01_M,ALB_2005_LSMS,Living Standards Measurement Survey 2005,direct,2005,2005,Living Standards Measurement Study (LSMS),The World Bank,LSMS Database Manager,The World Bank,lsms@worldbank.org,surveys.worldbank.org/lsms,"The Living Standards Measurement Survey (LSMS) is a multi-purpose household survey conducted to measure living conditions and poverty situation, and to help policymakers in monitoring and developing social programs.

LSMS has been carried out in Albania in the context of continuing monitoring of poverty and the creation of policy evaluation system in the framework of the National Strategy for Development and Integration (previously the National Strategy for Economic and Social Development). 

The first Albania LSMS was conducted in 2002, followed by 2003, 2004, 2005 and 2008 surveys. In 2008, 3,600 households participated in the survey.",,2005m5,2005m8,National coverage,"The survey includes a sample of 6,671 households that constitute the survey units. The sample is chosen randomly by two rounds of selection. The sample frame was provided from Population and Housing Census done on October 2011. In the first round, 834 Primary Selection Units (PSUs) have been chosen randomly to represent the whole territory of the country. Then, 8 households for each PSU were chosen to be interviewed in the second round through a procedure of systematic sample. To handle cases of non response or no contact other 4 households for each PSU were chosen as substitutes that ensured the target of 6,671 completed questionnaires near the households.

The methodology of the 2012 LSMS has been kept similar with the surveys conducted in the previous years. However, the geographic domains of analysis have been expanded to include the 12 individual prefectures of Albania, by urban and rural strata, compared to four geographic regions (Central, Coastal, Mountain and Tirana) by urban and rural strata defined previously as domains for the survey. This required a considerable increase in the sample size from 3,600 to 6,671 households making possible to calculate indicators of living standard for 24 strata and even for the four main areas of the country in order to compare the regional results to those from the 2002, 2005 and 2008 surveys and study the regional trends for various indicators.",Face-to-face [f2f],"Data collection was based in two different ways of collection: 

- Filling a dairy from the households for a period of 14 days, where are recorded expenditures for purchasing products/services of consumption and when it was necessary filling a daily self-consumption dairy for 14 days, where are recorded only the products produced and consumed by the household itself during the same period, which values are estimated with the price that would be paid in the nearest shop/market. 

- Direct interview from the interviewer with a questionnaire where are included different questions about big expenditures and with a rare frequency, grouped and sorted according to specific topics. In the same questionnaire are included questions about socio-demographic data of household composition that will help in the analysis of household budget survey by household type.",,"The Comparative Living Standards Project (CLSP) includes variables that were collected at the community, household, and individual level. The community level data include variables that detail distance to services such as the nearest market, the nearest schools, and the nearest health center.

The household level data includes information on household geographic information, demographic status of the household head, housing conditions, utilities, ownership of durable goods, consumption, and income. It also contains the community level variables and the consumption and income variables.

Individual level data includes basic demographic characteristics, education, health, fertility, anthropometrics (5 years and younger), migration and economic activity.

All of the variables have been harmonized using internationally recognized standard definitions where those exist. Variables have been chosen for inclusion in the CLSP based on their availability in multiple surveys and the ability to harmonize the options. The data cannot be downloaded for use outside of the CLSP.",,ECA,
5544,ALB_2008_LSMS_v01_M,ALB_2008_LSMS,Living Standards Measurement Survey 2008,remote,2008,2008,Institute of Statistics of Albania,,LSMS Data Manager,The World Bank,lsms@worldbank.org,surveys.worldbank.org/lsms,"The Living Standards Measurement Survey (LSMS) is a multi-purpose household survey conducted to measure living conditions and poverty situation, and to help policymakers in monitoring and developing social programs.

LSMS has been carried out in Albania in the context of continuing monitoring of poverty and the creation of policy evaluation system in the framework of the National Strategy for Development and Integration (previously the National Strategy for Economic and Social Development). 

The first Albania LSMS was conducted in 2002, followed by 2003, 2004, 2005 and 2008 surveys. In 2008, 3,600 households participated in the survey.",,2008m6,2008m8,National coverage,"The survey includes a sample of 6,671 households that constitute the survey units. The sample is chosen randomly by two rounds of selection. The sample frame was provided from Population and Housing Census done on October 2011. In the first round, 834 Primary Selection Units (PSUs) have been chosen randomly to represent the whole territory of the country. Then, 8 households for each PSU were chosen to be interviewed in the second round through a procedure of systematic sample. To handle cases of non response or no contact other 4 households for each PSU were chosen as substitutes that ensured the target of 6,671 completed questionnaires near the households.

The methodology of the 2012 LSMS has been kept similar with the surveys conducted in the previous years. However, the geographic domains of analysis have been expanded to include the 12 individual prefectures of Albania, by urban and rural strata, compared to four geographic regions (Central, Coastal, Mountain and Tirana) by urban and rural strata defined previously as domains for the survey. This required a considerable increase in the sample size from 3,600 to 6,671 households making possible to calculate indicators of living standard for 24 strata and even for the four main areas of the country in order to compare the regional results to those from the 2002, 2005 and 2008 surveys and study the regional trends for various indicators.",Face-to-face [f2f],"Data collection was based in two different ways of collection: 

- Filling a dairy from the households for a period of 14 days, where are recorded expenditures for purchasing products/services of consumption and when it was necessary filling a daily self-consumption dairy for 14 days, where are recorded only the products produced and consumed by the household itself during the same period, which values are estimated with the price that would be paid in the nearest shop/market. 

- Direct interview from the interviewer with a questionnaire where are included different questions about big expenditures and with a rare frequency, grouped and sorted according to specific topics. In the same questionnaire are included questions about socio-demographic data of household composition that will help in the analysis of household budget survey by household type.",,,,ECA,
5754,ALB_2012_LSMS_v01_M,ALB_2012_LSMS,Living Standards Measurement Survey 2012,remote,2012,2012,Institute of Statistics of Albania,,LSMS Data Manager|Institute of Statistics of Albania,The World Bank,lsms@worldbank.org|info@instat.gov.al,surveys.worldbank.org/lsms|,"The Living Standards Measurement Survey (LSMS) is a multi-purpose household survey conducted to measure living conditions and poverty situation, and to help policymakers in monitoring and developing social programs.

LSMS has been carried out in Albania in the context of continuing monitoring of poverty and the creation of policy evaluation system in the framework of the National Strategy for Development and Integration (previously the National Strategy for Economic and Social Development). 

The first Albania LSMS was conducted in 2002, followed by 2003, 2004, 2005, 2008 and 2012 surveys. In 2012, 6,671 households participated in the survey.",,2012,2012,National coverage,"The survey includes a sample of 6,671 households that constitute the survey units. The sample is chosen randomly by two rounds of selection. The sample frame was provided from Population and Housing Census done on October 2011. In the first round, 834 Primary Selection Units (PSUs) have been chosen randomly to represent the whole territory of the country. Then, 8 households for each PSU were chosen to be interviewed in the second round through a procedure of systematic sample. To handle cases of non response or no contact other 4 households for each PSU were chosen as substitutes that ensured the target of 6,671 completed questionnaires near the households.

The methodology of the 2012 LSMS has been kept similar with the surveys conducted in the previous years. However, the geographic domains of analysis have been expanded to include the 12 individual prefectures of Albania, by urban and rural strata, compared to four geographic regions (Central, Coastal, Mountain and Tirana) by urban and rural strata defined previously as domains for the survey. This required a considerable increase in the sample size from 3,600 to 6,671 households making possible to calculate indicators of living standard for 24 strata and even for the four main areas of the country in order to compare the regional results to those from the 2002, 2005 and 2008 surveys and study the regional trends for various indicators.",Face-to-face [f2f],"Data collection was based in two different ways of collection: 

- Filling a dairy from the households for a period of 14 days, where are recorded expenditures for purchasing products/services of consumption and when it was necessary filling a daily self-consumption dairy for 14 days, where are recorded only the products produced and consumed by the household itself during the same period, which values are estimated with the price that would be paid in the nearest shop/market. 

- Direct interview from the interviewer with a questionnaire where are included different questions about big expenditures and with a rare frequency, grouped and sorted according to specific topics. In the same questionnaire are included questions about socio-demographic data of household composition that will help in the analysis of household budget survey by household type.",,,,ECA,
